Classifier,Count,Cycle,Split,Train Acc,Test Acc,F1 Score,Train Time (ms),clfs per ms,Confusion Matrix,Params
Ramos,Full,1,0,1,0.863309353,5.185635441,21.87316418,24.54490919,"[[ 59   0   0   0   0   0]
 [  0  72   6   2   1   0]
 [  1   9 130   5   1   0]
 [  0   0  10  80  10   1]
 [  0   0   2  11  51  10]
 [  0   0   0   0   7  88]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,1,1,0.84352518,5.075115408,21.8742609,24.54341098,"[[ 58   1   0   0   0   0]
 [  2  71   7   1   0   0]
 [  0  10 126   4   3   3]
 [  0   0   8  82  11   0]
 [  0   0   0  12  54   8]
 [  0   0   0   3  14  78]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,2,1,0.848648649,5.118789166,24.9984026,24.54876667,"[[ 58   1   0   0   0   0]
 [  0  68  11   1   0   0]
 [  2   9 126   5   4   0]
 [  0   0  11  77  11   2]
 [  0   0   1   8  56   9]
 [  0   0   0   3   6  86]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,3,1,0.863063063,5.20028381,23.43592644,21.27483359,"[[ 59   0   0   0   0   0]
 [  1  72   7   0   0   0]
 [  0  10 130   5   1   0]
 [  0   1   9  79  11   1]
 [  0   0   1  11  55   7]
 [  0   0   3   3   5  84]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,   2.0002 , ...,  79.75007,   3.80997],
       [  2.0002 ,   1.35505, ...,  10.33705,   0.49934],
       ...,
       [ 79.75007,  10.33705, ..., 436.09172,  20.83079],
       [  3.80997,   0.49934, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,4,1,0.873873874,5.275453224,23.24645519,22.79530436,"[[ 59   0   0   0   0   0]
 [  1  71   8   0   0   0]
 [  0   7 130   8   1   0]
 [  0   1   8  81   8   3]
 [  0   0   0  11  59   4]
 [  0   0   2   3   5  85]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,5,1,0.846570397,5.095280617,20.16899586,21.28089739,"[[ 57   1   0   1   0   0]
 [  1  71   8   0   0   0]
 [  0  10 127   8   1   0]
 [  0   0   8  78  12   3]
 [  0   0   2  13  52   7]
 [  0   0   2   0   8  84]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[14.59512, 15.13638, ...,  3.03522,  3.80997],
       [15.13638, 15.71797, ...,  2.95051,  3.95439],
       ...,
       [ 3.03522,  2.95051, ...,  2.55324,  0.76192],
       [ 3.80997,  3.95439, ...,  0.76192,  0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,6,1,0.850180505,5.106996748,23.70951176,26.21131214,"[[ 58   1   0   0   0   0]
 [  0  67  13   0   0   0]
 [  0   5 135   3   3   0]
 [  1   0   5  74  18   3]
 [  0   0   1  15  53   5]
 [  0   0   1   2   7  84]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,7,1,0.851717902,5.128852657,26.15439892,19.54438421,"[[ 59   0   0   0   0   0]
 [  1  71   6   1   0   1]
 [  0  12 128   3   3   0]
 [  0   1   9  76  14   1]
 [  0   0   3   8  54   8]
 [  0   0   0   1  10  83]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,  79.75007,   3.80997],
       [ 15.13638,  15.71797, ...,  82.78869,   3.95439],
       ...,
       [ 79.75007,  82.78869, ..., 436.09172,  20.83079],
       [  3.80997,   3.95439, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,8,1,0.851449275,5.137208842,28.57441902,23.75492703,"[[ 59   0   0   0   0   0]
 [  1  73   6   0   0   0]
 [  0  16 123   4   1   1]
 [  0   1   9  79  10   2]
 [  0   0   0  17  53   3]
 [  0   0   1   2   8  83]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 14.59512,  15.13638, ...,   3.03522,  79.75007],
       [ 15.13638,  15.71797, ...,   2.95051,  82.78869],
       ...,
       [  3.03522,   2.95051, ...,   2.55324,  15.79504],
       [ 79.75007,  82.78869, ...,  15.79504, 436.09172]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,1,9,1,0.852994555,5.126864406,27.26044655,24.56825895,"[[ 58   1   0   0   0   0]
 [  1  75   4   0   0   0]
 [  1  13 126   1   3   1]
 [  0   0  10  76  13   1]
 [  0   0   4   7  50  12]
 [  0   0   1   2   6  85]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[ 15.71797,   1.92643, ...,  82.78869,   3.95439],
       [  1.92643,   1.35505, ...,  10.33705,   0.49934],
       ...,
       [ 82.78869,  10.33705, ..., 436.09172,  20.83079],
       [  3.95439,   0.49934, ...,  20.83079,   0.99505]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
Ramos,Full,2,0,1,0.854316547,5.164085656,24.8290062,24.54372789,"[[ 59   0   0   0   0   0]
 [  1  69  11   0   0   0]
 [  0   7 137   2   0   0]
 [  0   1  10  71  19   0]
 [  0   0   3   4  61   6]
 [  0   0   1   5  11  78]]","KNeighborsClassifier(algorithm='brute', leaf_size=30, metric='mahalanobis',
           metric_params={'V': array([[19.41868,  4.50734, ..., -4.94783,  2.95849],
       [ 4.50734,  4.29267, ..., -1.94691,  1.2049 ],
       ...,
       [-4.94783, -1.94691, ...,  1.45707, -0.88126],
       [ 2.95849,  1.2049 , ..., -0.88126,  0.53345]])},
           n_jobs=1, n_neighbors=5, p=2, weights='distance')"
