Amean,Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gmean,Gvar,GSkew,GKurt,Bmean,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Entropy0,Entropy45,Entropy90,Entropy135,FileAddress
125.60267318518518,4048.3240418219943,0.15885155799031606,-1.27013691715402,111.8594277037037,5496.681020022108,0.32844350882885476,-1.5289170437004012,124.70457422222222,4055.482566572792,0.33742963226966494,-1.4147222596418618,140.24401762962964,2188.7561936186535,0.41630856672261435,-0.7954802178334077,123.09537445671118,4160.623298382471,0.3396428021332219,-1.42707032580188,0.5846451851851852,0.4153548148148148,354.56185661887355,588.8093984492538,268.5824188528233,598.3870286686638,12.644594716757432,15.693278373063745,7.122617756039718,15.907437946930887,0.15896658078203463,0.1230087337727542,0.2585142594725277,0.12480574911073576,0.014281933412744894,0.01262150146810668,0.020332860895585263,0.012668421838316632,0.9574033240059937,0.929255745301435,0.9677321847920176,0.9281050141679994,13.102908763393948,13.462381188808395,12.322231183467597,13.45299667502265,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0558.JPG
122.68083654320988,4028.493190292799,0.1728621969862491,-1.262739491153226,109.11740696296296,5460.402589975411,0.3386556364114048,-1.5226676099704173,121.7347234074074,4047.208100773871,0.3476937440952883,-1.4044951772639016,137.19037925925926,2182.4802982561637,0.43687810009820194,-0.7574897273437595,120.16789644988157,4147.481501304615,0.35038985899359604,-1.4170330278918515,0.5855383703703704,0.4144616296296296,347.96911903967964,582.8038289330468,266.9244664295241,589.3512227508469,12.499948723648629,15.676852711093405,7.079712020157111,15.64128831442407,0.1601980654065375,0.12344059137686078,0.25995942874711686,0.1260662844843261,0.014410228353129587,0.012725709600671405,0.020616142464609744,0.012819990209544408,0.9580601218842366,0.9297507066921367,0.9678287326785019,0.9289614993776888,13.078130581553987,13.443116826910998,12.297954741890882,13.425856849129946,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0559.JPG
128.54648291358023,4112.657672918994,0.1390420712477433,-1.285263571089386,114.59205185185185,5616.938669863976,0.31418139808396256,-1.5452933479603517,127.58599896296296,4110.327421659852,0.3245939116684472,-1.4355859358148981,143.46139792592592,2192.60356173173,0.39444421107094996,-0.841242839617137,125.96940146708143,4222.785485068392,0.3261913855144948,-1.4477660415204443,0.5823358518518519,0.4176641481481482,361.5469464636364,600.6246242448386,267.1673062101674,595.9079034941394,12.76494890889555,16.149623462749037,7.194958500074106,15.704447799481411,0.15831982658874424,0.12063884777615072,0.25476596748819896,0.12459379817076868,0.014150500899063561,0.012410706792174153,0.019995319350460772,0.012574359225676074,0.957199804311326,0.9288916265872709,0.9683723320987118,0.9294500322945448,13.123964122921038,13.497860296349375,12.358456616970457,13.464467955904384,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0560.JPG
123.12375244444445,4019.961958369534,0.20806465060582585,-1.2391718566342624,109.1882037037037,5448.405920254802,0.38431897029570267,-1.4819629703205115,122.27020977777778,4024.7537677130326,0.3888367906785393,-1.3692191478420612,137.91284385185185,2173.080908694728,0.4579879270374242,-0.7145666213055968,120.61811740377782,4127.239779597753,0.3919737402927705,-1.3803398424976288,0.5991838518518519,0.40081614814814814,359.0904605238787,592.3419828248661,264.78991937157247,598.2550700537356,12.77452706457709,15.93718389307477,7.081684007707129,15.942980548874226,0.15661864157128358,0.12022031375394317,0.259907734102963,0.12229198094634244,0.014097383262756485,0.012455715382666113,0.020628732279287586,0.012524138521368425,0.9565163659565096,0.9282636375104536,0.9679334620842804,0.927547529402978,13.110198695038,13.47304472806832,12.29915983510517,13.46018653787676,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0561.JPG
121.23916024691358,3786.0802471664265,0.13793964909001435,-1.2919277755312075,110.81817555555556,5125.212785352888,0.24556978747220712,-1.5902669920939017,120.40149614814815,3917.708265583759,0.26419625747993264,-1.4638308756151155,132.49780903703703,2079.2639149033844,0.43312698615238093,-0.6863820609810576,119.23718468151101,3981.8757389077023,0.2673158062412803,-1.4752428992180064,0.5541262222222222,0.44587377777777776,239.1994773072507,439.4035114120596,224.61027212094277,442.73883201915095,9.65872431551259,12.755808628072415,6.47199110715874,12.52172393020885,0.19895073863403356,0.15674687712946497,0.2773746434996957,0.16031010896124545,0.01729194555762304,0.015249106342133651,0.022557922664185163,0.015420132388636177,0.9699740005199765,0.9448416254910523,0.971805863692996,0.9444229371565377,12.690213397439871,13.0923653437396,12.095225822799259,13.067041087565268,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0575.JPG
123.38164301234568,3769.676414141997,0.12067717466073731,-1.3003503315412461,112.71665851851851,5132.154836567832,0.23347663865415927,-1.6018413944977243,122.596456,3880.7487300178454,0.2555213243768983,-1.476737424530176,134.8318145185185,2050.6608354215973,0.41775241760521137,-0.7145536489631712,121.3791683843704,3953.4655829062153,0.2576010228219505,-1.488765789365227,0.551737037037037,0.448262962962963,235.83174584120624,434.25070384362573,223.6112159478286,439.1874279717665,9.587506798562481,12.657180228002481,6.556977026826734,12.603165928586538,0.19664223169445874,0.1543195287971075,0.2733883593960788,0.15714088788670175,0.017336448237205367,0.015291772327900847,0.02266466166406835,0.01541014949381947,0.9701830565474288,0.9450957922286752,0.9717284927918868,0.9444716167599552,12.688034574187466,13.09407170444683,12.105373168114438,13.076646254881188,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0576.JPG
121.93388562962963,3726.895149087562,0.13092066320445922,-1.2994593816337467,111.63565422222223,5077.297576894956,0.23754786988283766,-1.6030538051138064,121.17261777777777,3847.282537917607,0.2598537752416668,-1.476166713419789,132.9933848888889,2027.1597097217875,0.43322184733635094,-0.684559712118304,119.99829033093322,3917.1717329994635,0.26197453008411864,-1.487940180590842,0.5503918518518518,0.44960814814814815,228.13692386351013,428.9791119049466,224.74669245590636,430.893993417993,9.428721573857954,12.502320100475176,6.602621313176228,12.504787648943612,0.19651411270400915,0.15441394137672168,0.2727920497472712,0.1566190815832715,0.01749350579568451,0.015472500476468538,0.02290504578224163,0.015551310499272846,0.9708912902790416,0.9452649968952727,0.9713237350109094,0.9450206599698838,12.660892874703661,13.067557754774153,12.09432363960534,13.054092708218223,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0577.JPG
122.18500237037037,3786.512758320489,0.13299553693583518,-1.310377029319465,111.52205940740741,5157.897868938096,0.24775620297179465,-1.6051586185766586,121.34514266666666,3894.5842420211234,0.267315362146552,-1.481355307234036,133.68780503703704,2060.337977860656,0.4236176543046169,-0.7286818865828004,120.14764343097782,3970.012227281914,0.26951924029092134,-1.4935598393992577,0.5550884444444445,0.44491155555555556,234.28915712644965,435.00409933591345,225.90350570623968,439.8888771431296,9.57075084287356,12.659544288588274,6.589040610641768,12.637168962946141,0.19563737539543402,0.15357277477913597,0.2732965364006876,0.15551375472577025,0.017417905964365567,0.01540256917104506,0.022899361584187018,0.015478056325372613,0.9704984987690054,0.9452235511409075,0.9715544689080133,0.944608454389343,12.669457840705165,13.07294853956918,12.087760778982204,13.06316602679356,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0578.JPG
120.99883555555556,3606.2862974095,0.1583040231092124,-1.2212541021545058,112.60312696296296,4913.807280088766,0.21705598749143115,-1.5641341881491104,120.77061718518519,3765.7520964131554,0.24939496525608879,-1.4191126512611902,129.62276251851853,1994.38739306775,0.5068966188956888,-0.40105701300696284,119.67326519149618,3822.5799184955163,0.2515670915924306,-1.4281072531392827,0.5424134814814815,0.4575865185185185,224.3425540365308,448.17588966590444,247.2111224247813,446.00591838008535,9.40333755696344,12.725374443029846,6.945015117830149,12.669719312099142,0.19159821326025978,0.1489902608212908,0.2636904133108843,0.15130870237940433,0.017100685045174556,0.01503705789217993,0.021980106358026972,0.015120968126322278,0.970661288107142,0.9413904217637433,0.9676693510748597,0.9416741951571399,12.69370290512439,13.118034900896221,12.186283734808908,13.10402990782726,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0602.JPG
123.93178261728396,3719.0641614998062,0.19427216390205854,-1.225771393178705,114.98483274074074,5086.5771689172125,0.2644128868943428,-1.5494150954481163,123.93488651851852,3865.810026604902,0.29227967744121086,-1.4135516562820714,132.8756285925926,2044.7649864196844,0.5152248623918733,-0.4478171250130245,122.67762759428152,3932.0519294293567,0.29402429155141196,-1.4216770305825774,0.5620991111111111,0.4379008888888889,254.86834426290244,480.6176714307169,251.21493033941007,481.61406610859325,10.226168130117454,13.540629149986417,6.9930263820957475,13.49335208964719,0.18207645370795533,0.14092782991952882,0.2624333102227969,0.14328742425679228,0.01647855728491876,0.014483311248252091,0.021621240151393616,0.014560333616893305,0.9675919629999836,0.9388870061217979,0.9680554658288688,0.9387603087914994,12.817217133788265,13.229883013073906,12.23202560122921,13.217009914917954,D://Solar Panels//Solar Data//2-7-18\Clean\GOPR0603.JPG
