Avar,ASkew,Rvar,RSkew,RKurt,Gvar,GSkew,BSkew,Grayvar,GraySkew,BlackRatio,WhiteRatio,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity90,Energy45,Energy20,Energy135,Class,FileAddress
1759.1666984228912,-0.07779667127836905,2046.005002883553,-0.17466516258557774,-0.5274160585698917,1843.5276358929093,-0.1370726865116955,0.21369287590814354,1839.6336788927679,-0.13126178429312269,0.3566807725694445,0.6433192274305556,538.3983053519947,351.9880063456188,546.2338198849286,0.17508078712510658,0.17683386332963294,0.015325471862931503,0.017561252626990192,0.015483241312581084,Dirty (40-60),D://Solar Panels//Solar Data//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame100.jpg
1421.6084436246133,-0.20898657249283684,1486.2721577080194,-0.389166336872382,0.6243010272908918,1379.318846896659,-0.2440885154581824,0.002485234973009304,1380.2335412081595,-0.24870100652446786,0.4342567274305555,0.5657432725694445,298.67951970474167,186.3416626825453,291.5388804492385,0.18616561608751112,0.1823851424926746,0.014987850575837574,0.017439156079237274,0.015112278031575378,Dirty (20-40),D://Solar Panels//Solar Data//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame260.jpg
2144.495948087589,0.4910718276309812,1968.7700811523432,0.7296841200476665,0.1645936471472833,1625.6763445532893,0.7865121642185755,0.4103604567964533,1646.1745375214136,0.8032205480628444,0.7054969618055555,0.2945030381944445,875.8410180067223,438.40323691759363,966.1167321479637,0.16957216225098096,0.20395053163640275,0.018701590418176282,0.023351698907013704,0.018357009583652054,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6258.jpg
1386.9501359013195,0.5394300149731048,1433.5040641856715,0.3880814430852549,0.3988105185764521,1315.7113517577545,0.6334538037540866,0.6381281076378684,1314.1509376538245,0.6278171112869572,0.5357280815972222,0.4642719184027778,388.15249765931094,244.82872913769114,360.2233468645641,0.153093512329615,0.1468543891825992,0.013168719060909596,0.01519776811025776,0.013352448810630005,Dirty (20-40),D://Solar Panels//Solar Data//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame0.jpg
2446.4851976412483,-0.15742085577208745,2908.877921176815,-0.17693380166920428,-1.4149751064789269,2636.809206326746,-0.15301907583824814,-0.012577719281778976,2617.911184751305,-0.15151038559711266,0.4339149305555556,0.5660850694444445,754.17999001741,493.20107353963823,714.7658799849067,0.15371695540706196,0.14896608145140927,0.014799055229688978,0.0166110734831324,0.015202273071228397,Dirty (0-20),D://Solar Panels//Solar Data//5-7-18\Dirty (0-20)\2\GOPR0858\GOPR0858-frame740.jpg
2453.565439378241,0.8543243008617727,3301.543283579414,0.5634203862195432,-0.9814851338164045,2109.0253469593135,0.8875968292694018,1.2294741177380892,2166.203701239504,0.8752884680524671,0.6319563802083333,0.36804361979166667,788.7349828893186,625.3242176634212,833.6512498355265,0.3213457774381932,0.2704877789243983,0.0295629755049642,0.032987393911760574,0.029472047523922545,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1643\GOPR1643-frame600.jpg
1844.9830343960255,-0.052939807411902365,2228.510717376666,-0.111559181852316,-1.0022405089991746,1966.179020996094,-0.05745025185298375,0.2986690833716946,1956.1630050999984,-0.059295682252219664,0.4478732638888889,0.5521267361111111,556.9101403760983,387.95232201842833,580.7025122852193,0.2349846142017905,0.26125863798740384,0.01644771288794804,0.020258754361275787,0.016425426511369433,Dirty (20-40),D://Solar Panels//Solar Data//5-7-18\Dirty (20-40)\10\GOPR1056\GOPR1056-frame740.jpg
1431.4325034405701,-0.21032171216835596,1646.393489779132,-0.3240054134266873,-0.4853916534339011,1500.5497672003974,-0.2398356469179969,0.0754577494877665,1497.3139807718412,-0.24172222253885775,0.3712844444444444,0.6287155555555556,300.96087550155687,194.7655301615532,313.86349933451936,0.2068312869536496,0.21719373865457625,0.017021448796766602,0.019746748099099504,0.016860890285777037,Dirty (20-40),D://Solar Panels//Solar Data//5-7-18\Dirty (20-40)\6\GOPR0982.JPG
1701.7661962733368,-0.3908012502097997,1602.7121727357046,-0.5260714736884327,0.1166324248664079,1565.9514547608499,-0.38847425151997295,-0.2756634427378683,1588.5753837103973,-0.4093075167229168,0.36021375868055555,0.6397862413194444,494.47752014188745,355.4546168723922,462.14929844573913,0.12547474474021686,0.11284677545170768,0.019794079782164232,0.02053593556441655,0.01985616047431479,Dirty (80-100),D://Solar Panels//Solar Data//27-8-18\Dirty (80-100)\4\GOPR1436\GOPR1436-frame110.jpg
2007.1771312704427,-0.2945177515933387,2333.5286197054816,-0.3351342992286073,-1.008674830293494,2090.2781451113087,-0.31618969011813514,-0.10358003610930723,2090.6360287397592,-0.31030698394564565,0.3777842881944444,0.6222157118055556,639.7368293422909,392.6078603094577,655.3615350570523,0.1785203660308595,0.179900258341982,0.015166372297791832,0.01750575484312731,0.015257646029995582,Dirty (40-60),D://Solar Panels//Solar Data//2-7-18\Dirty (40-60)\1\GOPR0552\GOPR0552-frame320.jpg
1711.2004391778046,0.16171849827519574,1674.211017571904,0.0310903029573098,0.013636170343710674,1598.3365092063434,0.1490682397847916,0.33239874167234906,1608.2638348594305,0.1549882200251885,0.5384407552083333,0.4615592447916666,534.4838924707561,364.6442117958972,525.776565053757,0.13094580848702245,0.12596186991073727,0.012820380637250791,0.014251297975930268,0.012961526973168602,Dirty (40-60),D://Solar Panels//Solar Data//27-8-18\Dirty (40-60)\11\GOPR1516\GOPR1516-frame70.jpg
