Amean,AKurt,RKurt,GKurt,BKurt,Graymean,GrayKurt,BlackRatio,WhiteRatio,Contrast90,Class,FileAddress
121.00156334841628,-0.2839279685685137,-0.7816770803179023,-0.4888952770539503,0.8427901549430783,119.86788548370389,-0.4686199021794679,0.4666706767900002,0.5333293232099998,459.8892576789274,Dirty (60-80),D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\18\GOPR1229.JPG
103.33001879541729,1.0002067060298208,0.9601493711805902,0.9760678935430792,1.1788406654094103,101.44829368166631,0.9493448659907512,0.7865591384125266,0.21344086158747336,578.6511239026686,Dirty (0-20),D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\21\GOPR1618.JPG
129.5638542052886,0.6977657148281073,0.060320265849147965,0.4057172762289341,2.095909697777314,127.85874564924411,0.43219728309779537,0.2943184601164472,0.7056815398835529,246.11981160807525,Dirty (40-60),D://Solar Panels//Cropped//27-8-18\Dirty (40-60)\12\GOPR1527\GOPR1527-frame420.jpg
108.49116285110027,-0.928995695673795,-1.1732959981927202,-1.0652914485808145,-0.17104185102009106,105.21610225007495,-1.030493525540794,0.5929874166729084,0.4070125833270916,469.76484258405134,Dirty (20-40),D://Solar Panels//Cropped//5-7-18\Dirty (20-40)\12\GOPR1099\GOPR1099-frame310.jpg
117.55832818762377,-0.26881009394903943,-0.571638378608355,-0.3634617644547098,0.22636539705667505,116.35514514329607,-0.3870785290663954,0.3716597291323272,0.6283402708676729,100.05545911227397,Dirty (20-40),D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\16\GOPR1571\GOPR1571-frame1695.jpg
135.26047238339115,11.942222302600857,13.928087454223151,13.227121362430134,10.509226262370008,135.2098350882701,10.353288686502175,0.2518967899599173,0.7481032100400826,210.62194692692745,Dirty (80-100),D://Solar Panels//Cropped//2-7-18\Dirty (80-100)\3\GOPR0766.JPG
116.85662852142772,1.5974863941686914,3.7068688666775467,3.975698318342161,4.8332974098270896,110.34269253983044,3.949419312720017,0.867320172089125,0.13267982791087496,81.91485007671288,Clean,D://Solar Panels//Cropped//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6231.jpg
84.83248120427335,2.5119728560696624,4.904376477298287,5.405148197185589,5.379917850143117,77.53596924290524,5.215858483918838,0.9198467827230368,0.08015321727696309,731.6697292917291,Clean,D://Solar Panels//Cropped//5-7-18\Clean\GOPR0944\GOPR0944-frame360.jpg
130.99630123451107,0.6052276348604368,-0.04685725412866981,0.22346897536005586,2.337138544416172,130.55156597181016,0.318087455529815,0.4392864140444375,0.5607135859555625,150.42399608400171,Dirty (20-40),D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame490.jpg
142.558925390573,3.5305890923263545,2.6960633427989684,3.1577296731767137,5.108427014199974,140.67373309888842,3.1287918855142296,0.2447251448027329,0.7552748551972671,135.3573182180246,Dirty (60-80),D://Solar Panels//Cropped//27-8-18\Dirty (60-80)\7\GOPR1475\GOPR1475-frame320.jpg
134.91179062267017,2.099980006235333,0.819192530299734,1.46282648000198,5.339261489255451,134.34637060960267,2.225673386609161,0.06677906996572483,0.9332209300342752,144.5403218576294,Dirty (20-40),D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\15\GOPR1561\GOPR1561-frame380.jpg
143.95544076403104,5.668538336311711,4.569843696153335,5.097831909573303,7.830103186495822,142.14789541156392,5.191460349708255,0.13479912996112434,0.8652008700388757,168.8917848977946,Dirty (80-100),D://Solar Panels//Cropped//27-8-18\Dirty (80-100)\5\GOPR1455\GOPR1455-frame130.jpg
97.12513761711763,5.918960113492989,6.332234855534643,6.595636506424935,6.1968039403136315,94.86080089944186,6.143200065276524,0.9175519669866822,0.08244803301331788,369.6876745049822,Dirty (0-20),D://Solar Panels//Cropped//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame545.jpg
110.1591396891452,0.21509784385419328,-0.5735071938785539,0.11747821156231986,1.7612970594392945,110.98071818152529,0.1353899512821899,0.6471853810600097,0.35281461893999033,571.6694740337739,Clean,D://Solar Panels//Cropped//27-8-18\Clean\GOPR1388\GOPR1388-frame20.jpg
111.14530649658992,-0.6346333892918321,-1.0595249226997048,-0.8532380008262339,0.4331031580999665,109.42978086136822,-0.825928190272962,0.4928632128918545,0.5071367871081456,370.1272933370682,Dirty (40-60),D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\6\GOPR0648\GOPR0648-frame360.jpg
128.53432201014783,6.42089810194471,5.788181159247287,6.47425590573928,7.3507868304444735,126.80689600707515,5.376069752955724,0.20158495350803046,0.7984150464919696,184.10048591500527,Dirty (60-80),D://Solar Panels//Cropped//5-7-18\Dirty (60-80)\20\GOPR1257\GOPR1257-frame110.jpg
117.33857156261837,0.8473182178151961,0.14565823403132686,0.5604517538036959,2.5168011669532664,116.84964946822704,0.5919245307911569,0.6454925663141646,0.35450743368583537,223.59961484237857,Dirty (20-40),D://Solar Panels//Cropped//27-8-18\Dirty (20-40)\18\GOPR1595\GOPR1595-frame620.jpg
119.56407733596802,-0.07778099597752862,-0.7233555774420921,-0.3351293004578455,1.4970573196460997,119.33587927730859,-0.30340973105434005,0.5084556560501966,0.4915443439498034,526.7420185414276,Dirty (40-60),D://Solar Panels//Cropped//2-7-18\Dirty (40-60)\7\GOPR0662.JPG
