ASkew,Rvar,RSkew,GSkew,GraySkew,BlackRatio,WhiteRatio,Contrast45,Contrast90,Contrast135,Class,FileAddress
0.993468444883887,3110.9368030991145,0.7796091134082064,0.919450477008144,0.9144143716904554,0.7062771267361111,0.2937228732638889,634.2838644151104,436.1876803720445,651.2414460184359,Dirty (0-20),D://Solar Panels//Solar Data//27-8-18\Dirty (0-20)\23\GOPR1636\GOPR1636-frame100.jpg
-0.19140675483660635,2470.910325645108,-0.21328793853073624,-0.21423414830622356,-0.2040740629899979,0.3933745659722222,0.6066254340277778,709.3316318707791,425.8391559457577,695.0120628402968,Dirty (20-40),D://Solar Panels//Solar Data//5-7-18\Dirty (20-40)\15\GOPR1152\GOPR1152-frame340.jpg
0.1384244243646384,1650.9428304795151,0.0030789280471606338,0.16359108737619452,0.15777008201424764,0.51599609375,0.48400390625,559.2230119366989,371.7708166724619,546.6696306332856,Dirty (40-60),D://Solar Panels//Solar Data//27-8-18\Dirty (40-60)\11\GOPR1516\GOPR1516-frame400.jpg
0.8377838904695709,2846.349186491761,0.4099426016862823,0.8972502308439103,0.8880961386189347,0.6101942274305555,0.3898057725694444,1147.5960106611456,874.4478366220446,1127.5393632673304,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1389\GOPR1389-frame240.jpg
0.8252775877318659,2798.8970175995964,0.3673605184951151,0.904415646195732,0.8897719513235526,0.6023741319444444,0.3976258680555556,1142.2576486976418,855.4245001738527,1111.4112479216542,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1389\GOPR1389-frame160.jpg
-0.584653236506986,1403.7533710390255,-0.7107587691040906,-0.6321160251182186,-0.6339376594681804,0.23370659722222226,0.7662934027777778,456.20998454764634,292.3832786422117,433.8421521942669,Dirty (60-80),D://Solar Panels//Solar Data//5-7-18\Dirty (60-80)\18\GOPR1225\GOPR1225-frame340.jpg
-0.6923884113084111,1337.05896484375,-0.7255031988286519,-0.7456421568284174,-0.7349051532752747,0.2398274739583333,0.7601725260416666,490.6941814982801,290.70792876390817,469.4955062032341,Dirty (40-60),D://Solar Panels//Solar Data//5-7-18\Dirty (40-60)\17\GOPR1201\GOPR1201-frame670.jpg
0.2852535544867657,1825.019367644269,0.14271528034892705,0.29827318311061485,0.3038233612886396,0.52823486328125,0.47176513671875,456.22296827695976,283.69500533318137,456.0871664262745,Dirty (40-60),D://Solar Panels//Solar Data//27-8-18\Dirty (40-60)\13\GOPR1533.JPG
-0.8051427479494221,1195.0995715940064,-1.0005828919483597,-0.8790941181872917,-0.8833621976276208,0.17208550347222226,0.8279144965277778,360.20076206963654,227.8662334840056,340.80723813914955,Dirty (60-80),D://Solar Panels//Solar Data//5-7-18\Dirty (60-80)\20\GOPR1257\GOPR1257-frame90.jpg
0.06194938673956255,1803.5841401219063,-0.006849520590296815,0.06694366372689885,0.06344057129438671,0.4736252170138889,0.5263747829861111,683.3858727861323,468.20531445584135,701.7747697099072,Dirty (20-40),D://Solar Panels//Solar Data//5-7-18\Dirty (20-40)\6\GOPR0979\GOPR0979-frame480.jpg
0.3817142285629225,2601.106043478054,0.3195525937835371,0.3856498005529365,0.38820428370558974,0.5359776475694444,0.4640223524305556,722.2946636639151,504.06495240785813,691.2387752949378,Dirty (0-20),D://Solar Panels//Solar Data//5-7-18\Dirty (0-20)\8\GOPR1027\GOPR1027-frame780.jpg
0.5845717459705269,2232.7385463042056,0.6833320050936112,0.8165042026793581,0.8246717012330068,0.6960340711805556,0.30396592881944445,887.0983904976173,448.7262669506258,940.846491032524,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\A\GOPR1646\GOPR1646-frame6222.jpg
1.009100703476029,2813.9089289304657,0.6371932282310498,1.0543664708027791,1.0636706992533205,0.6588064236111111,0.3411935763888889,1078.8923337403942,747.7013430111258,1044.9917638193097,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1388\GOPR1388-frame780.jpg
0.5723148700716293,2537.612072056636,0.5883247547879461,0.5922750295340247,0.6143561299173045,0.7457834201388889,0.2542165798611111,460.7433299876793,281.34010887517366,501.210364060066,Dirty (80-100),D://Solar Panels//Solar Data//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame7703.jpg
-0.8192653431354688,1849.623816121909,-0.9291987405840636,-0.8713563316696356,-0.8692874727037391,0.2289208984375,0.7710791015625,260.2068635135247,136.01537075788164,239.13882360655393,Dirty (60-80),D://Solar Panels//Solar Data//5-7-18\Dirty (60-80)\21\GOPR1302.JPG
0.9435392840368432,3463.180613416864,0.73849870693071,0.946837311884115,0.9520940135897276,0.6750737847222222,0.32492621527777776,798.8403372767108,620.3617730789289,815.5289261320946,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1643\GOPR1643-frame790.jpg
0.8209997247364066,2501.823703747209,0.3802345495015206,0.8426025814807595,0.8548774039194745,0.5750065104166666,0.4249934895833333,1025.8787724241274,718.2717489568851,961.941201673334,Clean,D://Solar Panels//Solar Data//27-8-18\Clean\GOPR1388\GOPR1388-frame810.jpg
0.18241185667936866,3829.4814392760054,0.15445801132142348,0.14050751549955334,0.1517274196340216,0.5824891493055555,0.4175108506944445,457.5793751855425,287.53822692107116,522.5831724845887,Dirty (80-100),D://Solar Panels//Solar Data//27-8-18\Dirty (80-100)\A\GOPR1649\GOPR1649-frame3668.jpg
