Avar,ASkew,RSkew,GSkew,Bvar,GraySkew,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Class
1787.4724270953582,-1.3785710296351403,-1.1829730711655937,-1.3174790604111135,1517.0734566392719,-1.3216222224313154,0.06462383770076077,0.9353761622992393,89.90073868185326,221.2226900247471,145.6715391870757,221.8971808146957,0.3351329040581089,0.24431698555582235,0.3206374432811351,0.24591445156658226,0.05712739976065665,0.05399799729144512,0.0564033363410827,0.05404227048030029,Dirty (20-40)
3172.876790808457,0.9535637603081536,1.5167300442551692,1.0241927572705236,3031.134032529484,1.0974521543928923,0.8725968994560028,0.12740310054399695,170.7273987607745,704.7085202798538,575.4574812364536,759.1356651013824,0.5426301819692181,0.4326522133904561,0.5014568702725177,0.432043933996003,0.1033059925630468,0.0950420327127589,0.09945071766959987,0.09494826814619424,Clean
5564.502758950658,-0.6771105834264103,-0.6767940279255564,-0.668888502609479,5625.510767264186,-0.6736436679889831,0.3079473802929204,0.6920526197070797,65.5502910898678,153.65711816216847,99.22146689908277,152.72352991014574,0.5076743287479663,0.4414550474420858,0.497094380577052,0.44149213724251374,0.2853023970970795,0.2834830688691748,0.2846386846230801,0.28350368024273204,Dirty (80-100)
2465.99900213288,1.1362074453414988,1.7821035947753228,1.2825277174125864,2327.911841075597,1.3570397415841768,0.8892416476563004,0.1107583523436996,124.53700485416596,606.283313800477,514.9522628146427,652.7274821413884,0.546096981364294,0.4278599568832436,0.4957791999143221,0.4266759559366582,0.08198685572009894,0.07190357607175253,0.07762975613676487,0.07178039578545169,Clean
4461.958584281919,0.6578532451933142,0.5163828688661868,0.5948228102391179,3837.792234607601,0.594558251124954,0.6471853810600097,0.35281461893999033,312.12753547682036,793.9462124169478,571.6694740337739,823.2893039408293,0.4098547166515129,0.34497998454740475,0.4050503426307496,0.3415220750635718,0.14627974462376686,0.14428541008911758,0.14527610120425122,0.14414034734552625,Clean
4387.464880463664,0.3327041654139189,0.7525673355547252,0.3398557211281692,5536.61694077958,0.3694395121021168,0.3643325400318407,0.6356674599681593,257.47790535732133,312.2665849370836,70.35592558954053,332.43199822027225,0.6449426405583556,0.5959906194970517,0.6854162450679195,0.5949612940495065,0.3607225621957833,0.360046319088606,0.3615804800777086,0.3599880627464412,Clean
2276.0845866846453,0.7260331168285789,0.9284502295524466,0.8280933879088348,2075.222556345932,0.8265607012909004,0.8756130897473395,0.12438691025266048,219.46659611853968,530.5368987815009,315.2990061724687,472.7600142026774,0.3369039348250589,0.2648446637878064,0.33178520482028634,0.2667759797717624,0.07492642304435695,0.07240998675740554,0.07497412306744107,0.07250550073795024,Dirty (0-20)
2389.685800560825,-0.6138128808033848,-0.6320213128959342,-0.5662262344239397,2060.6371826895506,-0.5878070375368087,0.2994540313931949,0.7005459686068051,199.22393026242585,393.0606516323686,248.72141103234918,385.95045501170404,0.24667597006462186,0.18716248062676336,0.24107199392460316,0.18836539493254367,0.05856866055818661,0.0567843481988716,0.058301811800441965,0.056814392461419234,Dirty (60-80)
4111.118917818916,0.8474332146469696,1.1220574518075332,0.8562350222940492,4202.089506720905,0.9118566136542972,0.7698086736548275,0.2301913263451725,508.8731752073722,1342.553035745014,1029.7621218076088,1353.9759542155,0.32769752180553435,0.29530859119205105,0.3297608433168505,0.2954402060109288,0.2140022276098344,0.21289425365379688,0.2134852830961467,0.21285831361428614,Clean
1885.4425302315253,-1.8144545431483048,-1.7815509355896046,-1.7572877683604369,1704.6600323166906,-1.780770943250103,0.14453148347379116,0.8554685165262088,137.15692547233996,260.81084948078916,159.82931500086042,255.89267770935226,0.26455059200666203,0.20213122853304827,0.2546273525264845,0.2019796814799756,0.0596164147257697,0.05658320739131593,0.05903132290410359,0.05658089555347118,Dirty (60-80)
1967.7383262754504,-0.872269581230174,-0.7830869478984925,-0.8286277951859621,1591.749629694638,-0.832591400001268,0.28483690073662604,0.7151630992633741,98.64987103279512,230.74274011115196,144.2390857496959,214.9427849197369,0.3217989147495844,0.2412434244764904,0.31252573838471875,0.24522492813284855,0.0503043708915736,0.04710759745443311,0.04965917335316697,0.047289158226841696,Dirty (40-60)
4955.83923770194,-0.9576558714357476,-0.954806780018328,-0.9523493146740808,5008.939543692168,-0.9558043549893502,0.2626306395238724,0.7373693604761277,56.660390227162274,135.11688141829498,91.40398618371914,133.4848548001121,0.4768528057368029,0.40669939564600055,0.4665968662775514,0.40780930019479816,0.24636877822763245,0.2441972761587633,0.2455011945329729,0.24421530793259474,Dirty (80-100)
2431.386587248581,-0.6055176008448994,-0.6204405707904844,-0.558244603338525,2097.515190768966,-0.5791702989985881,0.2989656009891372,0.7010343990108628,214.93694830805282,429.77249820943496,278.00675259935014,421.5442700531776,0.2447243548795715,0.18644698027301676,0.2396012992289389,0.18788743093544066,0.06156945693468858,0.059824957399417664,0.061217896199805374,0.059895555809892975,Dirty (60-80)
3058.2018056148604,0.9873070290021246,1.627101432440136,1.0935512175580409,2977.168290439621,1.1666301961780874,0.8789428513066512,0.1210571486933488,153.4246050521021,770.6808739057002,620.5173128046811,755.7562662613354,0.5764478759657232,0.4475130990838367,0.5155272342358289,0.4487192284305035,0.1154888429205581,0.10518999444580213,0.10934044561146504,0.1052054270855512,Clean
1823.6309764503924,-2.8664220019629822,-2.9608513777740955,-2.847708496805211,1857.086653610156,-2.877170546210914,0.06919072955966414,0.930809270440336,57.14847355216095,143.3025868131611,92.10473020569168,134.0152780085634,0.3659409471564616,0.2776028159286965,0.3621198819995012,0.2779883966917619,0.07779326378400153,0.07061756108305317,0.07704438792177107,0.07065068710283279,Dirty (80-100)
1463.715163215899,1.9317080464996197,2.120221482717467,2.0795212596770356,1249.7467771494378,2.080448020138929,0.9036545185583648,0.0963454814416353,201.40555705089366,567.929803023445,378.5531197528977,556.2397324973689,0.30279768330591394,0.22087691980943164,0.30885929339926343,0.22086517809961145,0.04101236074127866,0.034720735036485886,0.04208512745332946,0.03475555291377408,Dirty (0-20)
2460.952618568573,-0.9183820197727396,-0.7999277244293992,-0.8765056918072331,2162.087509731005,-0.8793737012795327,0.24667757628763134,0.7533224237123687,91.4406444289834,227.64097414460701,143.03678729007768,199.32558113664456,0.3466474483918825,0.2639476621320405,0.3346943539365859,0.2656630652302994,0.07228891741493636,0.07006777153841294,0.0717092761639744,0.07012861728052702,Dirty (40-60)
4875.9681182546665,0.6277520200289044,0.4792412184000565,0.5453140718305006,4202.968226668872,0.5463325515233979,0.634312496634578,0.36568750336542205,288.1697570387512,712.6886299547197,529.8465783185203,765.0365346407068,0.44072569626121866,0.3799724621169757,0.42631996315458376,0.3773704920195434,0.2084515970340352,0.2067082210873276,0.20743270720554172,0.20667809630772935,Clean
2657.336336352247,-0.5039777590892278,-0.35214286240192416,-0.4400587680842513,2242.394922896064,-0.445895516113288,0.4640952016808594,0.5359047983191406,132.47527227844594,331.7165955610769,204.53187535309672,279.41591562549985,0.29984843717406456,0.2291788294008855,0.29357361022754125,0.2315343192765023,0.07523182298044664,0.07410892589408015,0.07551126367395533,0.07416380776693436,Dirty (20-40)
1546.3824892228301,-0.7281174626967737,-0.6576920371987808,-0.6794509902734408,1129.5270857481698,-0.6870406288399769,0.3465048796404244,0.6534951203595756,94.5016798791478,227.78367370553562,144.01630797862188,214.62044198489122,0.307662681149719,0.22172268984105864,0.2977750848801611,0.2232034634727737,0.03261975347315015,0.028233732651943205,0.03185854727578824,0.028314985973177782,Dirty (40-60)
5909.7001973545275,-0.26969810237272834,-0.28247685890299745,-0.2705401730102455,5825.2023380829,-0.27446914216018165,0.3796979444878927,0.6203020555121073,241.5147912355801,387.1582201389,243.81960108399213,374.62213975966523,0.4057686550574023,0.3589254319360544,0.4056827679549477,0.3593094943960071,0.22159992228789832,0.22005991509845352,0.22097985145931245,0.2200305037430932,Dirty (80-100)
2320.4437928853367,-0.576956003986999,-0.5978288556132022,-0.5289410254255632,1999.5587292923008,-0.5507534539730691,0.3005197101860212,0.6994802898139788,194.49510100873403,391.48263725336255,253.10859799922318,385.5194506127147,0.2428662056801641,0.1854569497938602,0.23897150799030795,0.1863811840045256,0.05860155745158386,0.05691915768354105,0.05846012033292808,0.056891879240675174,Dirty (60-80)
2142.632881856865,-0.8607713678471701,-0.8573192265514861,-0.7997728824622837,1805.5436128164622,-0.8235366303304631,0.2662845009811424,0.7337154990188577,182.23084811269874,339.61986942246017,200.333191093916,333.5054973523886,0.27710556894863114,0.2084986418900044,0.2700603538741784,0.20931527584192247,0.0532033172651134,0.050569069390223945,0.05300425797413777,0.05060733025929373,Dirty (60-80)
1585.532368254291,-2.4718954888311724,-2.5584143241308754,-2.4188998228589056,1581.9167549509302,-2.4635349913879407,0.06946433209094036,0.9305356679090596,91.36593955709631,199.56392115631775,127.57624843637993,198.52920331732787,0.3112046513337898,0.2306132147534,0.2995510894671183,0.23098992685994696,0.0661557208021787,0.06022675243343985,0.06477169764361411,0.060261986006142874,Dirty (80-100)
7287.269600138715,0.785864216112629,0.7656558101921372,0.757445854066163,5855.763798665551,0.7573572706134094,0.6727667233888953,0.3272332766111047,99.20272726246513,160.8785406343053,83.72176846934623,173.505090538371,0.7331072788051501,0.6951461448260549,0.7272606530948295,0.6941532578852732,0.5896423111042837,0.5887317528898169,0.5896310950748586,0.5886687061983238,Dirty (80-100)
