Avar,ASkew,Rvar,RSkew,RKurt,Gvar,GSkew,BSkew,Grayvar,GraySkew,BlackRatio,WhiteRatio,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity90,Energy45,Energy20,Energy135,Class
1500.091018,-0.010971558999999999,1718.01957,-0.077513449,-0.716891765,1578.574764,-0.00461667,0.222459507,1570.757882,-0.008390408,0.456398655,0.543601345,657.2314656000001,437.2123316000001,641.1082828,0.158248652,0.174371505,0.013056525,0.015798592,0.013611972,Dirty (20-40)
1524.714168,0.08604393199999999,1748.2167579999998,0.015400881000000002,-0.72124403,1600.671009,0.08743004800000001,0.325256294,1594.047726,0.08424864900000001,0.47684136299999996,0.523158637,669.8102155,479.34830819999996,714.4652930999999,0.149277915,0.15893355,0.012818073000000001,0.015088411999999999,0.013183731,Dirty (20-40)
1507.112557844115,0.08750760780219903,1552.9053814441766,-0.006326073428911621,-0.4014785643161569,1409.1299877706986,0.13154844718784678,0.14545140518153882,1428.3250467015678,0.1274357527643248,0.480908203125,0.519091796875,494.96609616561966,328.0119056415163,489.8888963800607,0.12226609316934595,0.12179478621492902,0.014059659012852528,0.015573076617861925,0.014262050928562382,Dirty (40-60)
1552.861461,-0.276454672,1892.92975,-0.362645169,-0.828044377,1626.979974,-0.252020494,0.086793336,1631.6364210000002,-0.261079386,0.392794054,0.607205946,609.2797333,411.57830099999995,596.4717796,0.19387398100000003,0.19123830600000002,0.016091855,0.01836097,0.016700487,Dirty (20-40)
2180.895935,-0.26322943600000004,2584.233784,-0.25810330600000003,-1.4306657669999998,2314.02496,-0.24297097,-0.156306558,2310.039189,-0.24251892600000002,0.416034071,0.583965929,510.6022982,285.9497088,455.1161819,0.21385273,0.24832336800000002,0.018825553999999998,0.023439118999999998,0.019441642,Dirty (0-20)
2274.1395080941447,0.4920170789940544,1988.4212876297515,0.7615184054535328,0.31915396773403604,1715.1614078120285,0.8050247565652979,0.4677457375654506,1728.94527840889,0.8254307754402261,0.7139713541666667,0.2860286458333333,869.4434542807153,451.76325191237834,983.1566886073421,0.16775589320702358,0.19632808741260446,0.017759885649037806,0.02200545650920267,0.017409184991485603,Clean
1433.090063,-0.59524332,1709.7334010000002,-0.674397169,-0.301255983,1492.8611449999999,-0.574983861,-0.289367947,1497.879347,-0.582591877,0.322666016,0.6773339840000001,486.6925079,328.19631539999995,482.2836752,0.205414083,0.198307447,0.017907527,0.020360765,0.018768461,Dirty (20-40)
2199.621933,-0.17319958300000002,2562.852481,-0.160633737,-1.419800299,2348.514594,-0.15872503599999999,-0.100488864,2334.3764730000003,-0.15683011300000002,0.444739583,0.5552604170000001,457.52768760000004,253.69144100000003,409.7633234,0.239452446,0.275879735,0.019644695,0.024394532000000003,0.020281405,Dirty (0-20)
1090.22214,-0.609815812,1248.8957699999999,-0.7279654609999999,0.10238156,1123.9146230000001,-0.605186253,-0.32143961,1126.1865400000002,-0.6124115729999999,0.300884332,0.699115668,399.8445685,264.3545006,388.34455810000003,0.187610163,0.180654335,0.018730001,0.021325438999999998,0.019751783999999998,Dirty (20-40)
1420.4586574900586,0.28971729572380034,1305.0654086171362,0.11903260243902407,0.5524812529869272,1244.2177656254128,0.29715091874895483,0.5916710876510787,1259.2406481322546,0.3074223055056329,0.5504231770833333,0.4495768229166667,509.7233528454188,362.8197898557023,514.2221985404539,0.12722665164040525,0.1172092946427112,0.0124719967442441,0.013693620981018235,0.012537877240470069,Dirty (40-60)
1664.4912865014471,0.17723924014206413,1623.4873784939048,0.04623978112367251,-0.058269219159222015,1540.1498085149137,0.1801196717638595,0.3418909897783801,1552.9920597245252,0.18353606752254947,0.5392296006944445,0.4607703993055556,549.8850566713172,371.83767276599417,536.036502787622,0.1252913518297708,0.1217003495321364,0.012706551966190744,0.014123149420183391,0.012860484315573916,Dirty (40-60)
1698.863072196803,-0.3713912442519636,1607.0785279477418,-0.534140446372164,-0.25771237246713863,1571.9257688352786,-0.3841339001256566,-0.2212430406213546,1591.0041522525325,-0.3989885655867593,0.3988693576388889,0.6011306423611111,458.49009842312057,320.07980811022236,448.3586718587735,0.13708542946060506,0.12792357083470876,0.020281100806270054,0.02138263504525326,0.02036114908970664,Dirty (80-100)
1691.8538930560035,-0.6629325097551247,1714.9305217384895,-0.8147782951411012,0.2278214518715003,1591.2044012880488,-0.6529287645621729,-0.5334229839681316,1613.0569313070978,-0.6695739714595046,0.32174479166666664,0.6782552083333333,370.8847554537237,235.56084188108468,360.14781845604807,0.14794495274411498,0.1512095073029286,0.02209593790871792,0.023548001960986827,0.022082067907250258,Dirty (60-80)
1586.192045,-0.526659754,1908.0219350000002,-0.666477871,-0.249603176,1666.0748800000001,-0.579537919,-0.091688302,1667.99288,-0.582209805,0.27115451399999996,0.728845486,432.7304972,276.4225845,407.8289639,0.176319256,0.202296055,0.020663947,0.023403122999999998,0.021183145,Dirty (60-80)
2022.233766,-0.35736688200000005,2351.031068,-0.378599927,-1.038487544,2086.1001850000002,-0.372846219,-0.227080255,2094.391447,-0.366982098,0.378491753,0.6215082470000001,573.8513387999999,348.4937945,602.5232291,0.196192402,0.195601957,0.015859073,0.018280838,0.015817403,Dirty (40-60)
2089.7694,0.31389808,2382.4732670000003,0.247716611,-0.498938819,2170.323497,0.32959469199999997,0.586252873,2168.001423,0.32608509199999997,0.531096802,0.46890319799999997,470.86963080000004,276.62368100000003,476.942679,0.18984812,0.22621532,0.013135495,0.016829495,0.013148667,Dirty (0-20)
