Avar,AKurt,Rvar,RSkew,RKurt,Gvar,GSkew,GKurt,Bvar,BKurt,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast45,Contrast90,Contrast135,Energy45,Energy20,Class
1851.8958460000001,-0.701971934,2172.194689,-0.2027619,-0.963063405,1958.738263,-0.13634522300000002,-0.8438579709999999,1421.090706,-0.23621172899999998,1952.523606,-0.13790618,-0.8490289320000001,0.43434785200000003,0.565652148,449.89307599999995,258.4190159,467.5011281,0.013705287,0.016574142,Dirty (20-40)
2212.954784,-0.96082049,2640.917505,-0.35047410799999995,-1.1970942740000001,2379.53574,-0.341867542,-1.116760671,1602.7342449999999,-0.608155053,2363.784925,-0.335568091,-1.1179186970000001,0.38026801200000004,0.619731988,533.4665795,342.0672092,541.4398167999999,0.018953118,0.022233642999999997,Dirty (20-40)
1566.6289160000001,0.230169659,1904.564072,-0.7177873029999999,-0.231471915,1660.537882,-0.630685985,0.044831725999999995,1131.7972869999999,1.0563731029999999,1658.50658,-0.633211437,0.023277317000000002,0.261344401,0.7386555990000001,380.40666880000003,255.55504930000004,379.2135731,0.022644082000000003,0.025423965,Dirty (60-80)
1651.8963449999999,-0.39707246700000004,1979.801943,-0.257761791,-0.796846767,1738.126968,-0.19269829100000002,-0.607570305,1212.2949820000001,0.265975208,1734.499718,-0.192659827,-0.613607648,0.38373046899999996,0.616269531,498.95667139999995,354.4543691,534.0521464999999,0.018124722,0.020932442,Dirty (20-40)
2025.492768,-0.331578971,2328.661384,-0.414893403,-0.617948681,2149.635664,-0.35598805,-0.485066227,1597.7127169999999,0.27969002600000004,2135.122328,-0.35535288600000003,-0.48052258299999995,0.335811556,0.664188444,397.22439460000004,222.20165699999998,411.90360089999996,0.016887584,0.01985728,Dirty (40-60)
2483.011805,-0.669219269,2847.476341,0.298719613,-0.927759628,2640.9499,0.30615527600000003,-0.841524632,1937.701038,-0.078768743,2620.8566140000003,0.314822681,-0.823628901,0.511771918,0.488228082,869.9532297000001,563.2391788,827.0140887,0.013432613000000001,0.015363906,Dirty (0-20)
2481.450718,-0.801047809,2809.733682,0.097544456,-1.011135337,2622.2776440000002,0.07597626099999999,-0.939999063,1991.102708,-0.380509605,2598.797719,0.090966911,-0.92979184,0.451993273,0.5480067270000001,766.9850511,486.96601289999995,753.5553985,0.015113468,0.017462842,Dirty (20-40)
1777.936724,-0.290592476,2030.2607289999999,-0.346888572,-0.614297752,1864.957355,-0.305268212,-0.43727029999999995,1431.4319169999999,0.270656043,1854.0068019999999,-0.299129949,-0.44391926299999995,0.353628472,0.646371528,556.9453143,349.20085839999996,552.359146,0.016425405,0.018877431,Dirty (40-60)
2466.613448,-0.7508958859999999,2812.7022829999996,0.16072042,-0.9816447,2614.525759,0.147280338,-0.9012002259999999,1945.86022,-0.269455558,2589.5489789999997,0.161798985,-0.890017697,0.47104058200000004,0.528959418,829.3029889999999,544.6600639,818.8947467,0.014851772,0.017163593,Dirty (20-40)
2204.0951609999997,-0.96002709,2655.9542739999997,-0.331645347,-1.209688083,2331.8859,-0.284054617,-1.13264402,1584.260631,-0.684360855,2331.24464,-0.285654943,-1.138021862,0.391925998,0.6080740020000001,644.6635291,409.161785,659.0136527000001,0.016619203,0.019092705,Dirty (20-40)
1626.5440210000002,0.036098623999999996,1920.191242,-0.508356289,-0.286017309,1716.76638,-0.40623627700000003,-0.144521481,1236.2600869999999,0.470084956,1714.0518730000001,-0.408646377,-0.152637611,0.317112593,0.6828874070000001,327.240854,185.871003,331.5823373,0.018171105,0.021400363,Dirty (0-20)
780.8314223,1.498440215,864.0534457,-0.8776571040000001,1.23558847,769.838253,-0.783897411,1.562761461,704.7814057999999,1.7652605609999998,772.0215964,-0.782142236,1.511575724,0.211866319,0.7881336809999999,412.68577680000004,264.4959688,425.1015875,0.018879878,0.021500411,Dirty (80-100)
1583.329181,-0.02283001,1757.9512989999998,-0.40038943200000005,-0.257619182,1630.015744,-0.41309414200000005,-0.153553907,1359.730696,0.382961206,1623.472018,-0.40502109700000005,-0.13800991,0.31989908899999997,0.6801009109999999,528.4687782999999,319.2632161,508.5982823,0.018615081000000002,0.021974674,Dirty (40-60)
2106.9819469999998,-0.76569778,2440.90115,-0.299014459,-1.0234390009999998,2208.619189,-0.266354784,-0.887700846,1659.902941,-0.367589685,2203.320893,-0.262914732,-0.89726619,0.378586155,0.621413845,662.5738054,404.64924049999996,679.5964511,0.014773639,0.017012978,Dirty (40-60)
1964.4917850000002,0.079384642,2283.65416,-0.22989789,-0.323648581,2058.927166,-0.185579293,-0.13630790199999998,1549.2624130000002,0.926757347,2057.746674,-0.17313228100000003,-0.12914890099999998,0.344714519,0.6552854810000001,338.9585277,201.5961464,322.11376889999997,0.018406079,0.021284975,Dirty (0-20)
2644.176914,-0.844117028,3581.280243,-0.175571671,-1.365543629,2679.085174,-0.034516205,-1.193898661,1489.685181,-0.154283484,2735.504871,-0.046201213,-1.216396251,0.428690815,0.571309185,381.7664077,283.2523473,386.26343330000003,0.015768044,0.020324905,Clean
2117.982476,-0.536260019,2402.5416179999997,-0.175647025,-0.8016311740000001,2198.226615,-0.18495794100000001,-0.6512544060000001,1745.3387480000001,-0.085253249,2194.499108,-0.174215127,-0.653795429,0.402965495,0.597034505,774.8323566,476.54323930000004,743.8276132999999,0.014919551999999999,0.017262562,Dirty (20-40)
