Avar,AKurt,Rvar,RKurt,Gvar,GKurt,BKurt,Grayvar,GrayKurt,BlackRatio,Class
1080.451378,2.213485126,1225.7244380000002,1.666690121,1123.495941,2.0776398240000002,2.8180749410000003,1119.1561789999998,2.036268285,0.17835829,Dirty (60-80)
2865.892458,-0.953400041,3593.2648630000003,-1.304788489,3063.957914,-1.144504531,-0.265736625,3066.2558480000002,-1.150471056,0.383391317,Clean
1489.5549640000002,-0.16333915,1704.571818,-0.409453191,1564.1056859999999,-0.303819699,0.212126731,1557.965097,-0.306551635,0.30070204,Dirty (40-60)
2069.4079690000003,-0.332002043,2417.503689,-0.7445311520000001,2195.87037,-0.526498403,0.580083389,2183.7485260000003,-0.525190277,0.407624593,Dirty (40-60)
1952.7109280000002,-0.77466196,2281.21176,-1.033247561,2031.814481,-0.886733997,-0.409639429,2033.593199,-0.901527506,0.38387152799999996,Dirty (40-60)
2048.0436050000003,-0.532881504,2441.253039,-0.87706467,2179.8005829999997,-0.6804388309999999,0.44629394200000005,2165.8933269999998,-0.680568528,0.389373915,Dirty (20-40)
913.1700343,3.2494315730000003,1049.1784300000002,2.938528935,941.1008287999999,3.178679259,3.7308743410000003,940.4167742000001,3.14986999,0.12477322,Dirty (80-100)
2315.7526789999997,-0.892551451,2752.806759,-1.198464147,2467.840988,-1.060187698,-0.271967895,2456.301923,-1.0590601640000001,0.46841579899999997,Dirty (20-40)
1540.904177,0.226578098,1757.570089,-0.03510951,1598.0716949999999,0.1162338,0.647482174,1597.275505,0.10042532900000001,0.227607015,Dirty (60-80)
3372.0709100000004,-1.1522209429999999,4016.668448,-1.370567335,3628.6176840000003,-1.290967024,-0.612008074,3602.901667,-1.2844543370000001,0.585595703,Dirty (20-40)
1102.87906,1.803468897,1291.956287,1.113573262,1130.146603,1.752127147,2.666294879,1136.218995,1.656563475,0.215324436,Dirty (60-80)
2072.822449,-0.5229814629999999,2336.801735,-0.8248137879999999,2185.052284,-0.688942486,0.078583717,2171.228099,-0.681347065,0.486291233,Dirty (20-40)
2110.043086,-0.594768207,2452.1354300000003,-0.893017897,2208.813756,-0.717849416,-0.104876088,2204.280054,-0.7266664190000001,0.39393880200000003,Dirty (20-40)
1713.2677399999998,-0.484408103,2071.8676800000003,-0.8633558090000001,1826.487775,-0.705727203,0.147055474,1816.408279,-0.708816879,0.39639974,Dirty (20-40)
1158.636061,1.4915797030000002,1317.909512,1.004540226,1179.907964,1.481084005,1.908616764,1184.435748,1.4053698140000002,0.216257595,Dirty (60-80)
993.9952399,2.061273893,1152.325002,1.464124161,1000.0687849999999,2.002204538,3.8262091480000002,1007.940166,1.990414185,0.232281901,Dirty (60-80)
2955.643077,-1.073006856,4050.57991,-1.505561149,3020.7781670000004,-1.309857424,-0.289159002,3088.5634579999996,-1.337449875,0.477589925,Clean
2094.99078,-0.830823489,2441.045272,-1.055482472,2189.526109,-0.952877436,-0.5112810560000001,2187.700347,-0.961169747,0.36660590299999996,Dirty (40-60)
1168.4200460000002,0.562728514,1330.159705,0.20982565600000003,1203.2716679999999,0.444841927,1.059369002,1205.772056,0.422069604,0.26336046,Dirty (60-80)
2536.763286,-0.774887911,2947.972151,-1.0636003090000001,2706.153071,-0.9478124929999999,-0.141437189,2687.749923,-0.936228548,0.48659722200000005,Dirty (0-20)
2055.6947,-0.497272846,2338.901133,-0.781759396,2134.7349510000004,-0.607152895,-0.019761624,2131.1762129999997,-0.612846507,0.406617839,Dirty (20-40)
2558.1480260000003,-0.833963592,2926.870405,-1.049719227,2712.231191,-0.982208373,-0.38315279799999996,2688.353187,-0.972918403,0.47486762200000004,Dirty (20-40)
1342.799787,0.17836420100000003,1578.157679,-0.057355422999999996,1410.2068199999999,-0.052419143,0.33783991700000005,1408.103919,-0.049662036,0.30225585899999996,Dirty (20-40)
2540.649509,-1.2156190340000002,2992.98839,-1.4140893509999999,2719.106909,-1.3471517880000001,-0.821153971,2702.290474,-1.344098629,0.503383247,Dirty (0-20)
1809.997225,-0.316829088,2068.596943,-0.644996618,1883.963863,-0.448204696,0.26973559,1879.558047,-0.45823228200000005,0.376092665,Dirty (40-60)
800.5601097,1.44089803,896.0864856000001,1.188534508,791.8210092,1.475157651,1.74180244,794.8693988,1.4232993669999998,0.21953776,Dirty (80-100)
2431.06248,-1.051908502,2932.768733,-1.309951874,2565.8575,-1.21907891,-0.6737617159999999,2566.328727,-1.222523037,0.437019314,Dirty (20-40)
3574.9408689999996,-1.292559018,4450.86647,-1.5354021999999998,3866.2685380000003,-1.4350971319999999,-0.6904782140000001,3850.2495240000003,-1.434237005,0.560843099,Clean
1167.341814,0.46640998,1351.6027789999998,0.135110611,1202.173018,0.33484009,0.9216152440000001,1207.402084,0.319766553,0.272774523,Dirty (60-80)
1100.356443,0.586819919,1285.5425699999998,0.137614917,1144.493927,0.403389635,1.4067722180000002,1144.8770630000001,0.388313048,0.326196,Dirty (40-60)
3020.8492260000003,-0.996112152,3570.318871,-1.186274095,3238.6172309999997,-1.1186757109999999,-0.518826353,3218.125706,-1.111343694,0.628104384,Dirty (0-20)
1510.4365380000002,-0.583051526,1738.303659,-0.839464545,1577.300677,-0.762614717,-0.11488997699999999,1574.979502,-0.757872186,0.463549262,Dirty (20-40)
2865.06934,-1.199026773,3473.4739670000004,-1.439726939,3076.30566,-1.355036029,-0.707837802,3061.719272,-1.352726729,0.494173177,Dirty (20-40)
1237.374492,1.285411197,1365.253432,0.971803744,1278.381478,1.193590706,1.6752060069999999,1274.6767730000001,1.177142502,0.21593316,Dirty (60-80)
