AKurt,Rmean,RKurt,GKurt,BKurt,Graymean,GrayKurt,Contrast45,Contrast90,Contrast135,Class
-0.266694876,101.7270434,-0.580439687,-0.396247752,0.522589022,102.8514554,-0.381307436,861.4048559,534.1165315000001,892.2828697999998,Dirty (20-40)
-0.34406427,118.00588090000001,-0.866518835,-0.592794952,1.10874173,118.63366950000001,-0.422235497,600.8939836,415.77488619999997,607.2588337999999,Dirty (20-40)
-0.66032827,116.10250900000001,-1.119588196,-0.953719243,0.78845423,115.32026840000002,-0.815616702,499.8564249,375.03203510000003,531.8295778,Dirty (20-40)
0.252487773,128.7115028,-0.053055514000000005,0.060106497,1.032725979,124.5534122,0.189833102,520.85797,330.43203860000006,502.66265219999997,Dirty (40-60)
0.183482233,130.6054419,-0.158276475,0.033223631,0.865353096,127.53656219999999,0.14136709,551.1315662000001,339.4709558,535.6267074,Dirty (40-60)
2.540896063,76.47480559,3.348680481,3.172054747,2.840996803,81.69380509999999,3.150733588,776.2234430999999,506.66857639999995,761.4929802999999,Clean
0.43779274,115.9356882,-0.024924622999999996,0.237717505,1.574022754,115.7851853,0.454037197,595.226692,416.22771869999997,617.1250248,Dirty (20-40)
0.55429763,89.24597411,0.293621054,0.47988805700000003,1.096924752,90.40433218,0.434043257,1094.4005,590.5013201,1052.817768,Dirty (20-40)
-0.42471363100000004,112.8275215,-0.88275805,-0.6374389770000001,0.607627256,109.66141370000001,-0.5968937329999999,602.2057927,378.44727810000006,604.7262572000001,Dirty (40-60)
-0.6455232870000001,114.90673170000001,-1.10822024,-0.931682067,0.824979775,114.00842800000001,-0.7814963079999999,504.1952187,374.4169506,524.2856343999999,Dirty (20-40)
0.170720558,114.74014369999999,-0.258997637,0.005789175,1.213167983,114.674489,0.123972309,353.33172149999996,251.57769100000002,397.6290038,Dirty (20-40)
-0.744222728,109.1928362,-1.12833647,-0.931773548,0.130347237,107.3355895,-0.880826104,618.1248155000001,393.18369060000003,646.561621,Dirty (40-60)
1.625896614,90.64617729,1.660642137,1.774180012,2.0288639269999997,92.22514179,1.7194807019999998,724.3962153,520.7996825,697.3499998,Dirty (0-20)
0.627824762,129.81693,0.03893757,0.330995711,1.946612847,126.92899579999998,0.608580459,481.8422005,342.0677957,487.3352698,Dirty (60-80)
-0.433012484,104.49259350000001,-0.6947160490000001,-0.584866058,0.208361364,104.4053767,-0.552179173,755.7967454,502.1123533,755.4070836,Dirty (20-40)
-0.51842085,106.2021608,-0.7419308440000001,-0.6615801729999999,0.055831371,106.77988859999999,-0.6288706620000001,829.161728,555.2746022999999,834.1664877000001,Dirty (20-40)
0.310562875,114.911225,-0.17764680100000002,0.112937251,1.4787402490000001,114.34100659999999,0.254178756,633.8983226,465.87010539999994,635.5837631,Dirty (20-40)
0.9999742070000001,127.4049568,0.58520678,0.783936922,2.034200797,123.63420579999999,0.871568094,345.7660759,241.1034755,344.0928931,Dirty (60-80)
1.008680885,108.4654274,0.829061823,0.9732516859999999,1.7490310340000002,109.7835452,0.983492123,1070.655589,627.3695849999999,1024.673012,Dirty (0-20)
1.102336785,124.75936409999998,0.6061880860000001,0.8734095709999999,2.2226879,121.0259817,0.924790775,373.1464984,249.9082355,365.1017724,Dirty (60-80)
1.251801578,126.6726156,0.738842633,1.011723705,2.40674341,122.9369352,1.085294234,385.174014,257.1913164,374.26788999999997,Dirty (60-80)
1.53029512,121.2659365,0.606503385,1.307255188,3.3643680519999997,118.15050670000001,1.310628172,300.3285807,203.84576380000001,298.9680403,Dirty (60-80)
2.4099729130000003,135.3501184,1.941687334,2.2329160519999998,3.300866736,134.51069750000002,2.530196954,421.66026370000003,293.3164901,420.812251,Dirty (40-60)
-0.355993523,118.87767859999998,-0.8652801729999999,-0.5820090729999999,0.96095173,119.10131200000001,-0.423362891,608.1229903,432.73869010000004,641.2541823,Dirty (20-40)
-0.451273982,120.9318155,-0.9346760709999999,-0.6738190620000001,0.781254163,117.82535049999998,-0.626067067,399.83720519999997,284.533958,401.1248397,Dirty (60-80)
0.303747422,109.14699509999998,-0.34147194299999994,0.029762951,1.807026715,108.57579240000001,0.037558877000000004,539.0140654,386.3970063,547.9833161,Dirty (40-60)
5.468053213999999,138.51146509999998,5.813715512999999,5.9641674170000005,6.10052311,133.6008342,5.41065873,401.5773176000001,307.3662722,413.0600825,Dirty (80-100)
-0.323591665,100.4451007,-0.60355515,-0.49271607799999995,0.586919882,101.67154559999999,-0.45568354899999997,766.1686384999999,499.2352728,768.8984885,Dirty (20-40)
-0.437507562,122.56707279999999,-0.9052155279999999,-0.6563940420000001,0.779428693,119.4821193,-0.598819084,410.9256744,280.8066566,408.9284946,Dirty (60-80)
0.987038779,99.97986246,0.684284888,0.904555621,1.6900083430000001,102.46189100000001,0.894494132,589.6121469,436.4037,593.5856161,Dirty (20-40)
-0.726181868,115.1000482,-1.039045183,-0.881502385,-0.081056955,113.87112720000002,-0.8500119840000001,695.6923843,431.0892555,675.6366473999999,Dirty (20-40)
-0.802240877,108.73856470000001,-1.17274866,-0.973495168,0.029398357000000003,106.75293640000001,-0.93514591,591.8237341,365.4525667,598.9301418,Dirty (40-60)
0.555118975,116.1768054,0.073468365,0.34445894,1.761532347,115.45876709999999,0.5639855779999999,622.3924051,456.46918150000005,677.9535053999999,Dirty (20-40)
-0.261902268,117.2238728,-0.6697185720000001,-0.443806879,0.587961136,114.59520220000002,-0.39172987,608.3172625,409.6564582,589.6125304999999,Dirty (40-60)
