Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gvar,GSkew,GKurt,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Entropy0,Entropy45,Entropy90,Entropy135,Class
2447.1197469999997,0.211711903,-0.7453050440000001,114.2120996,2769.284839,0.170227735,-0.9973823270000001,2596.017693,0.19221939600000001,-0.902660575,1964.388682,0.371736439,-0.206270399,113.9189554,2576.532625,0.19694667800000001,-0.890512724,0.5079112410000001,0.492088759,424.8204674,816.9745682999999,524.0149817,802.7730679,12.63159152,17.62539623,13.34050113,17.57865422,0.15390627199999998,0.11937236300000001,0.159062757,0.12002654199999999,0.01460517,0.012755068999999999,0.014850588,0.012827054,0.9175378409999999,13.24919936,13.66395474,13.27598134,13.65887009,Dirty (20-40)
2633.63147,-0.28097096,-1.189110607,131.1897446,3165.4275079999998,-0.312705629,-1.349191065,2815.147528,-0.273057901,-1.317177773,1919.2007859999999,-0.17419537100000002,-0.9193688809999999,131.82513899999998,2797.20568,-0.272295214,-1.315959286,0.417113778,0.5828862220000001,342.2228513,529.5976264999999,278.2017827,558.0818230000001,11.55147019,14.70024097,9.569559508,15.19257034,0.181676358,0.136733073,0.19188451,0.136813516,0.018496693999999998,0.015635243,0.018158833,0.01566062,0.938841465,12.87571149,13.26323933,12.75136435,13.2759687,Dirty (0-20)
611.9366139,-1.6912629000000001,3.950931803,138.7116504,751.9861915,-1.781738549,3.2879795830000003,615.7968579,-1.705714622,3.71797555,452.09976330000006,-1.255852543,4.032730183,138.09539630000003,626.1792935,-1.715332351,3.633787433,0.120609809,0.8793901909999999,183.2753073,259.4748929,158.3292007,268.754275,9.04904765,10.78476752,8.414014691,10.90926173,0.138593648,0.117026854,0.145434135,0.11679191400000001,0.029837972,0.028171871,0.030160278999999998,0.028121787999999998,0.8536596209999999,11.38581378,11.55384648,11.31531321,11.56136909,Dirty (80-100)
1179.557041,-0.897001523,1.778736499,131.790115,1351.713233,-1.073138404,1.337796602,1213.604896,-0.930064495,1.66835502,963.4136844000001,-0.470446865,2.140300335,131.585676,1212.497556,-0.94255176,1.624917915,0.17405816,0.82594184,233.8938613,422.49669910000006,262.534689,388.1699835,9.274575406,12.440157199999998,9.531531424,11.80853327,0.160391805,0.126997869,0.163886638,0.133166389,0.027286934,0.02484755,0.02720873,0.025311322,0.9035390590000001,11.84311245,12.168451300000001,11.85938727,12.11052116,Dirty (60-80)
1648.6424220000001,-0.229615257,-0.40168492200000006,130.6301497,2034.0033079999998,-0.300939005,-0.835051654,1749.61688,-0.24371567600000002,-0.631359722,1141.8047550000001,0.183925633,0.36959777,130.28567040000001,1748.3038559999998,-0.23987698600000001,-0.644777135,0.388263889,0.611736111,222.80267680000003,523.8659843,378.1639528,553.4500473999999,7.7875325779999995,12.12704314,9.391762648,12.20285211,0.247250687,0.19674718800000002,0.25095827,0.198258479,0.019695536,0.017071916,0.019901515,0.01721808,0.93621429,12.33474556,12.853509800000001,12.45238924,12.84156715,Dirty (20-40)
1453.846322,-0.757799599,0.30660870100000004,128.7629688,1648.577534,-0.761629751,-0.043832025999999996,1472.7672289999998,-0.773691227,0.229696998,1236.106403,-0.697546179,0.808096101,127.8220871,1480.145271,-0.763769354,0.187783626,0.292395833,0.7076041670000001,299.24041569999997,502.6531387,296.6836959,484.0606546,10.14325428,13.25340555,9.695237526,12.93331347,0.19832007,0.15940855199999998,0.20526244100000002,0.164632439,0.022372701000000002,0.019818888,0.02270317,0.020194213,0.8986658809999999,12.32878962,12.66737752,12.26417031,12.62986793,Dirty (40-60)
1783.86686,-0.257793467,-0.59178812,124.5645841,2140.86872,-0.353945258,-0.917302293,1890.9694190000002,-0.300557036,-0.755522351,1319.418829,0.02507612,0.121563786,125.0509295,1887.3072969999998,-0.301914236,-0.760277254,0.37043822200000004,0.629561778,219.6121248,361.44528230000003,210.7974432,383.31946919999996,9.82340884,12.61842743,8.891636135,13.17920395,0.171635455,0.133762199,0.185666059,0.13064102,0.018890602,0.016400171,0.019100105,0.016199826,0.941918101,12.67151107,13.02338545,12.55353825,13.06894829,Dirty (40-60)
551.0455507,-1.031097468,4.652403121,132.24941299999998,622.8771982000001,-1.328493537,4.01585413,561.9286519,-1.151507672,4.6642068530000005,467.88224060000005,-0.40188764299999996,5.389046474,132.80141319999998,561.3627685,-1.1695158890000001,4.612100525,0.11526829599999999,0.884731704,77.03030121,127.498117,76.27473188,131.00855479999998,5.399014931,7.115102692000001,5.3759087,7.171002903,0.25492070000000006,0.20284168800000002,0.249526083,0.203301373,0.037145552000000005,0.032437065,0.036345694,0.032458185,0.93140695,10.8684231,11.23664469,10.87668601,11.24270733,Dirty (80-100)
1504.061558,-0.7319221570000001,0.189323164,131.3063835,1713.592111,-0.7141378420000001,-0.19645792899999998,1511.770668,-0.745409627,0.12156810300000001,1280.571943,-0.70051324,0.737259345,130.55282179999998,1523.1374230000001,-0.7333616190000001,0.07514125,0.304382595,0.695617405,316.2591695,526.8989713999999,302.7765505,499.6205865,10.71034228,13.89093857,10.05121805,13.43899474,0.18821268100000002,0.15243103300000002,0.197940929,0.158126444,0.02122553,0.018809276,0.021625702000000004,0.019217391,0.8960224240000001,12.46601018,12.79568786,12.37898067,12.74830898,Dirty (40-60)
1670.605524,-0.186791345,0.454692346,116.4631665,2002.3483989999997,-0.393220451,-0.138367491,1756.88948,-0.287143468,0.237041778,1249.1383970000002,0.34945382700000005,1.922392279,116.59479180000001,1754.520173,-0.28620927,0.231083161,0.290167556,0.709832444,142.80170180000002,240.45978819999996,134.2992456,247.9606438,7.557519913999999,9.819264047,6.509791611,9.869478354,0.21246714600000002,0.16994916100000002,0.23885581,0.169943703,0.023021378999999998,0.020143898,0.023501476,0.020120766,0.959385003,12.16873156,12.53091418,11.97212177,12.53905721,Dirty (80-100)
