Amean,Avar,ASkew,AKurt,Rmean,Rvar,RKurt,Gmean,Gvar,GKurt,Bvar,BKurt,Graymean,GraySkew,GrayKurt,Contrast0,Contrast45,Contrast90,Contrast135,Correlation135,Class
125.90709629999999,1542.599543,-0.498313964,0.898023145,127.0888347,1722.0350809999998,0.41053563,124.173276,1605.774066,0.669912961,1295.946759,1.893022605,124.27740859999999,-0.595918899,0.7624885240000001,234.82073909999997,459.2389183,315.2710162,458.4877899,0.948846341,Dirty (60-80)
103.6210694,1946.263452,1.079413494,1.229496647,96.13906213,2119.157361,0.9769869059999999,101.341856,1980.794089,1.273432851,1583.755873,2.344315624,100.2558277,1.073205806,1.242517785,225.43958270000002,580.1489272000001,433.6747061000001,588.1873936000001,0.911916422,Dirty (0-20)
84.51259572,1641.4038070000001,1.318854241,2.373984328,64.05321947,1334.831252,4.937463153,78.31345267,1214.64244,5.301423713,1213.5679810000001,5.196724851,76.41742935,1.896319655,4.86991685,157.33041459999998,860.2768795,696.9321062999999,801.2813146000001,0.812811191,Clean
113.38910870000001,1977.0005239999998,0.84411341,1.260179697,107.2821206,2059.126259,1.124221243,111.4262621,1970.538917,1.368130249,1795.77545,1.712165182,110.33310130000001,0.812035032,1.314249781,369.3866788,763.4176691,548.2783234,736.7176122000001,0.9041451359999999,Dirty (0-20)
118.6501688,2275.763414,0.084745068,0.0042627509999999995,119.23745919999999,2658.97705,-0.59663788,117.47773590000001,2374.1028420000002,-0.237176907,1794.28718,1.368051699,116.79866000000001,-0.020846643999999998,-0.20104241,337.6238489,618.0874529,403.2544773,640.8404308999999,0.927621873,Dirty (40-60)
111.76988440000001,1345.622017,0.356349233,0.17212686100000002,109.56888740000001,1534.656465,-0.286377951,108.3848122,1370.574518,-0.072677215,1085.287952,1.502645595,108.6062222,0.312435845,0.115770472,249.6696136,563.5522463,410.86663450000003,580.8660161,0.9188453109999999,Dirty (20-40)
131.8517598,1126.221728,-0.930599973,2.142344745,138.1276622,1225.0108380000001,1.9529154119999999,131.96780520000002,1096.711368,2.132193826,977.4888380000001,3.4526144189999997,131.52218290000002,-1.246956815,2.629142508,280.47967,464.7368717,304.1512321000001,488.37300439999996,0.947178228,Dirty (80-100)
139.2788862,831.6413075,-1.772636621,7.158938997999999,142.29664509999998,914.9383328,5.780126392000001,138.1313759,811.2946947,6.977338286,755.3432586,9.76763761,137.4296414,-2.048121611,6.855738614,161.34806719999997,258.2772011,142.01259919999998,262.45287740000003,0.972133595,Dirty (80-100)
120.674764,1792.634211,-0.389039997,0.136076061,121.5906183,2227.6146320000003,-0.5498165429999999,119.0516062,1884.5913620000001,-0.160879715,1263.4431339999999,1.971430912,118.9257578,-0.471164563,-0.10637853900000001,156.7104737,377.7976635,265.96957349999997,370.74060299999996,0.956000842,Dirty (60-80)
118.0216413,2308.34094,0.201252513,-0.09735804599999999,117.99032539999999,2699.924652,-0.7314352909999999,118.515631,2427.3040899999996,-0.337377786,1799.452386,1.38810717,117.0315915,0.06866223,-0.28808833,366.78090380000003,650.8953251,445.97694939999997,650.2064236,0.931826323,Dirty (40-60)
85.64136575,2572.490197,1.8218840369999998,2.82962772,74.94179803,2641.375968,3.7197044999999997,79.8853632,2531.3143059999998,3.517000657,2128.712055,3.147414584,79.74014179,2.0229468390000003,3.47984323,294.4823025,764.1224593999999,495.41489029999997,759.6639162,0.877388594,Clean
94.29936769,2263.785891,1.369865832,1.561974864,87.97190174,2450.988265,1.547593891,90.13988021,2290.337459,1.6854350919999999,1883.179383,2.202689175,90.29613071,1.441585286,1.665988386,378.8827981,847.150618,559.8983927999999,818.4959097,0.877190987,Dirty (0-20)
130.36529960000001,1008.3478470000001,-1.4884392709999998,2.7222621719999998,134.72710769999998,1138.666172,2.2256810209999998,129.7476084,976.8710049,2.586616462,876.9647484,4.025668615,129.036851,-1.6751658969999998,3.08174709,261.18922169999996,418.47758789999995,276.07124839999994,441.1828033,0.948141844,Dirty (80-100)
109.0409013,2575.051357,0.277942658,-0.569299216,108.7969729,2913.3047070000002,-0.862465362,106.6746507,2697.946458,-0.725549655,2101.497384,0.038842502,107.14297309999999,0.25038177,-0.70623637,411.9696289,768.6945402000001,480.7487238,742.6422413,0.914310266,Dirty (20-40)
87.26182384,2574.882491,1.862610505,2.981532982,76.34769256,2664.256267,3.878192,81.57482221,2536.722717,3.6977949989999996,2096.018807,3.345708099,81.59031679,2.078294217,3.670048172,333.37369010000003,806.4121142999999,503.29036219999995,806.969736,0.8725053979999999,Clean
84.72569698,1783.699543,1.344478335,2.153437177,65.01592360000001,1491.336252,3.764592533,78.24108446,1403.9152,4.2251107569999995,1345.074325,4.4876947860000005,76.81507983,1.880622733,3.9879077510000003,182.6171993,807.3582207999999,640.7158642,786.1170121,0.827377082,Clean
140.0395358,757.7917062999999,-3.1033790389999996,15.26100929,146.2514295,699.5458887,20.54842757,142.54908909999997,696.6406591,18.85253986,756.6038115,13.54118451,140.0510971,-3.259293415,12.47982167,150.07953590000002,272.87503510000005,206.58872390000002,259.0827746,0.975816864,Dirty (80-100)
106.02004040000001,1676.7438630000001,0.503809655,1.7163238180000002,98.49264023,1688.558569,1.804040295,104.0779624,1610.579809,1.9627501569999999,1583.9211990000001,2.537192628,100.9322421,0.36406894700000003,1.6183127769999999,526.4322225999999,819.447784,448.2126914,813.3284388,0.87922949,Dirty (0-20)
