Amean,Avar,ASkew,AKurt,Rmean,Rvar,RSkew,RKurt,Gmean,Gvar,GSkew,GKurt,Bmean,Bvar,BSkew,BKurt,Graymean,Grayvar,GraySkew,GrayKurt,BlackRatio,WhiteRatio,Contrast0,Contrast45,Contrast90,Contrast135,Dissimilarity0,Dissimilarity45,Dissimilarity20,Dissimilarity2PI/2,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Energy0,Energy45,Energy20,Energy135,Correlation0,Correlation45,Correlation90,Correlation135,Entropy0,Entropy45,Entropy90,Entropy135
133.9572722,1171.715664,-1.513489284,4.415096327,139.1968225,1150.580239,-1.829329256,5.071426834,136.1886244,1138.98427,-1.664159505,4.895638545,126.5304824,1137.877193,-1.218729182,4.475478177,133.5218631,1462.944922,-1.789122304,4.253288241,0.563674366,0.436325634,270.7659233,424.6029726,326.2291042,437.5654424,7.018744049,8.495724898,7.321883053,8.777141268,0.586583821,0.580486887,0.585576756,0.57918145,0.541278961,0.540852352,0.540651255,0.540904404,0.973357069,0.958230264,0.967901789,0.956955099,6.71907243,6.802884411,6.736052263,6.813313479
133.6551039,1192.100541,-1.415234437,4.09720701,138.9404164,1160.099015,-1.725231297,4.691126341,135.8469059,1161.46756,-1.561230023,4.521931383,126.22897,1166.664669,-1.116341971,4.195316741,133.186144,1483.542739,-1.707787577,3.999350091,0.566408064,0.433591936,262.6661324,431.0917237,337.4460888,445.416524,6.966001919,8.523842396,7.393917599,8.823227588,0.589557963,0.582848023,0.587898026,0.581635778,0.544389027,0.543706571,0.543562788,0.543738427,0.974055501,0.957430584,0.966671584,0.95601604,6.70018971,6.788620503,6.724276976,6.800146459
135.0990283,1135.072384,-1.401247721,4.21795192,139.9922524,1099.982428,-1.70210894,4.735613812,137.2095839,1101.607902,-1.544800414,4.637601268,128.1417889,1126.576514,-1.097489576,4.312057466,134.6402074,1414.186722,-1.734860119,4.278193004,0.518375503,0.481624497,279.4197822,451.1919417,349.7121663,467.7655384,7.638023328,9.299789961,8.051937355,9.62924732,0.546702158,0.539292328,0.545471629,0.537768457,0.49650179,0.495712979,0.49578009,0.495769534,0.973239415,0.956792595,0.966508093,0.955205461,7.315717556,7.414389457,7.341461101,7.426231768
134.7602394,1134.930342,-1.415872631,4.276749747,139.6569765,1104.172669,-1.724496864,4.822245259,136.8597412,1100.438802,-1.560409264,4.70787044,127.8081881,1123.244443,-1.105437909,4.35768434,134.2893202,1413.784215,-1.743488988,4.301934389,0.521540451,0.478459549,273.6919388,445.8794523,348.9336237,464.2230089,7.490173619,9.174423277,7.98616259,9.521588934,0.550059676,0.542276929,0.547932554,0.540675533,0.499228254,0.498405332,0.498445201,0.498450499,0.973651934,0.957080149,0.966409276,0.95531442,7.264183053,7.365607433,7.295220774,7.378470346
134.4521867,1167.070763,-1.479637568,4.420666632,139.7199398,1131.844632,-1.796327957,5.062762948,136.6456542,1130.048202,-1.626262827,4.883330478,127.0458131,1151.632337,-1.181830348,4.483872787,133.9998118,1454.62553,-1.772202261,4.293059219,0.550379088,0.449620912,249.8054957,425.7603426,337.3437526,443.546614,6.77398845,8.487192357,7.415010531,8.783233417,0.577932174,0.570562704,0.575508072,0.569035255,0.528838628,0.528173731,0.528022821,0.528148972,0.975710325,0.958610284,0.967200509,0.956881216,6.843459867,6.946408225,6.882365706,6.95844555
134.2331206,1171.691696,-1.413898732,4.121534472,139.3771695,1144.71691,-1.723261708,4.681553409,136.438913,1134.013181,-1.551193661,4.534439451,126.9330876,1151.512322,-1.120043675,4.237767593,133.841081,1450.662319,-1.717531236,4.101122175,0.542950131,0.457049869,281.9393765,453.535201,356.6154985,474.5643547,7.446321586,9.054536436,7.863448233,9.382040598,0.567346204,0.560482238,0.565870337,0.559218462,0.521018552,0.520237567,0.520127049,0.520224575,0.972609628,0.955947429,0.965356641,0.953904835,7.015813878,7.107207853,7.039678542,7.11875463
134.5896329,1217.536712,-1.488817328,4.241391398,139.7147194,1179.431702,-1.803148376,4.917089909,136.765004,1182.808904,-1.634586327,4.696091291,127.3413374,1206.551834,-1.181348997,4.178147409,133.8767411,1533.349224,-1.75601991,4.015261059,0.536507832,0.463492168,297.4763885,471.6496161,367.0984937,497.1842268,7.613414549,9.250505962,8.016934208,9.625898036,0.559853041,0.553168702,0.558620146,0.551689148,0.511841212,0.511235259,0.511099123,0.511195444,0.971439932,0.954725005,0.964756959,0.952273864,7.118015563,7.210635408,7.141801439,7.22391536
134.2707362,1204.498127,-1.467555419,4.186735582,139.4777179,1171.82697,-1.769805417,4.773277976,136.4366419,1172.972047,-1.609420866,4.61052998,126.950885,1183.099188,-1.179735966,4.25097347,133.6859598,1507.594341,-1.740508889,4.014065961,0.538038144,0.461961856,288.8407951,462.0346041,364.2806326,486.4849153,7.541683546,9.176154219,7.979373316,9.528954267,0.561952892,0.554945927,0.560302035,0.55340739,0.514278121,0.513600332,0.513487963,0.513573351,0.97210781,0.955390807,0.964824534,0.953030142,7.09162454,7.184798544,7.117362627,7.197096135
132.8576953,929.9393351,-1.938811167,5.414881298,138.3431966,982.1649496,-2.097912011,5.805691375,135.1517231,908.7089119,-2.089615061,5.944899459,125.0968507,803.4821392,-2.042655475,6.21077217,133.3576806,1133.974611,-2.175150373,5.625926511,0.558559611,0.441440389,260.8864498,354.6311063,276.0491516,379.1344262,7.253483217,8.41403358,7.340304988,8.784421231,0.58074238,0.576182157,0.580318399,0.574461196,0.539206485,0.539138503,0.538810242,0.539082912,0.973462954,0.963935701,0.971922397,0.96144383,6.698831325,6.761672206,6.704682082,6.774206589
133.9824099,1118.521984,-1.669259982,4.828313517,139.2553174,1114.047623,-1.941238034,5.433062654,136.1803274,1095.268172,-1.827048646,5.332603764,126.5485803,1058.392133,-1.447854051,5.002685171,133.6554431,1403.434298,-1.916282966,4.61725836,0.530695142,0.469304858,278.8959854,451.3583881,362.978971,463.2094623,7.593831631,9.247088235,8.079309924,9.491888419,0.555675854,0.549036582,0.553900089,0.547735433,0.507480234,0.5069548,0.506612299,0.506909246,0.972837402,0.956046638,0.964649353,0.954892578,7.123348293,7.215339978,7.153105207,7.223548619
134.3497424,1164.833739,-1.494709856,4.405967226,139.6498151,1150.544776,-1.807239412,5.030820913,136.619967,1126.659206,-1.638923088,4.882630158,126.8229676,1127.287852,-1.213630092,4.523808899,133.8380178,1468.223915,-1.781662175,4.2465531,0.557124071,0.442875929,278.3199509,446.2849798,351.6163516,459.7323134,7.309561708,8.866021292,7.678980315,9.107667218,0.581165202,0.574695152,0.579930496,0.5734848,0.536788632,0.536079638,0.535949653,0.536102834,0.972822015,0.956430459,0.965666819,0.955117634,6.803704645,6.889521471,6.824660121,6.896800858
134.0226966,940.6580884,-1.606177314,5.007008089,139.4802761,965.2526439,-1.873467073,5.502302827,136.2632648,913.5305644,-1.765255733,5.528347252,126.3438677,849.4806386,-1.460572003,5.677452794,134.5087135,1135.362843,-1.956552347,5.464523386,0.575517941,0.424482059,245.261372,355.7226505,275.7115706,365.7547671,6.868503454,8.081572095,6.992616518,8.298665438,0.600406809,0.595507948,0.600256115,0.594405243,0.560238011,0.559911161,0.559839742,0.559964067,0.975157404,0.963979123,0.972075292,0.96296326,6.468400303,6.535756447,6.475490215,6.542661193
133.7828379,1119.885314,-1.584381148,4.612158486,139.0289566,1114.073538,-1.842303174,5.08987405,135.996544,1093.488757,-1.723885013,5.048196862,126.3672747,1064.696756,-1.383726451,4.905354828,133.4454348,1404.905239,-1.846166787,4.448287784,0.564733022,0.435266978,276.9329206,418.5541942,336.888052,447.160171,7.315302188,8.720583928,7.581725735,8.995123631,0.586684984,0.581267722,0.585952803,0.580219113,0.545003904,0.544580082,0.54422111,0.544496943,0.972516236,0.958472005,0.966568449,0.955633785,6.694865549,6.770069005,6.710829136,6.778933826
134.5048128,1205.680836,-1.491376408,4.210087526,139.4274045,1185.698462,-1.780008181,4.730557751,136.6102628,1177.987456,-1.622851181,4.594637752,127.5205987,1175.807113,-1.216584772,4.298500724,133.8202175,1516.573852,-1.748566207,3.988230201,0.528793088,0.471206912,313.224103,497.7969573,389.5391795,514.2729986,8.013248393,9.726403777,8.403666149,9.968773872,0.5519354,0.54491866,0.550442085,0.543986448,0.505770398,0.505057834,0.50489734,0.505096561,0.969906995,0.952181073,0.962576506,0.950598366,7.227890516,7.318715787,7.249416655,7.32606439
133.18236,1004.09098,-1.558154815,4.476519237,138.0812103,1030.014852,-1.758507556,4.673103646,135.2004918,996.7895139,-1.692556162,4.81362459,126.2870383,910.0082216,-1.437008114,5.15521326,133.3479425,1222.531709,-1.851479184,4.708817667,0.551091716,0.448908284,277.8798925,403.9557491,324.6342029,424.6765789,7.681265141,9.060125199,7.879418323,9.290948323,0.573936932,0.568289328,0.573213061,0.56751583,0.533479247,0.533134212,0.532897021,0.533077203,0.972052769,0.959381734,0.967352478,0.957298228,6.868170426,6.941507663,6.881358553,6.948344325
133.3140503,986.6082555,-2.002884863,5.468053214,138.5114651,1043.945916,-2.138828179,5.813715513,135.5920929,967.5294025,-2.136254052,5.964167417,125.8560391,860.6460557,-2.103768208,6.10052311,133.6008342,1214.003452,-2.179295056,5.41065873,0.548085457,0.451914543,300.7720887,401.5773176,307.3662722,413.0600825,7.929373275,9.185957,7.944170873,9.378836295,0.566893342,0.562319365,0.566883081,0.56141999,0.526670569,0.526538592,0.526108659,0.526530505,0.969887949,0.959803795,0.969229451,0.958654418,6.883987118,6.945968311,6.887416734,6.950715602
134.9646413,1203.29177,-1.579491658,4.416780098,139.515167,1183.194349,-1.847323431,4.899174217,136.9000159,1181.83248,-1.699779528,4.763751471,128.5189014,1178.755632,-1.322695336,4.455795354,134.0980651,1522.364651,-1.801176659,4.073090536,0.46687972,0.53312028,354.1048961,563.0061363,447.7343917,580.5974692,9.159521088,11.11002518,9.658818408,11.36997994,0.491073287,0.483462876,0.489470017,0.482307512,0.439666208,0.438924386,0.438605659,0.438878642,0.966245417,0.946327034,0.957319202,0.944650003,8.051527788,8.152953685,8.078459512,8.160455513
